step,time,alt,vel,surfv,hdot,range,az_err,lat,long,pitch,roll,unl_roll,roll_ref,l_d,drag,drag_ref,hdot_ref,entry_phase,
101,200,90.2619117261451,7864.99937673787,7509.906698848,-142.707907690305,6592.93268534839,5.60276009939327,8.19200989435899,-175.824097253537,40,0,0,0,0.642404654720351,1.50980448708532,0,0,1,
102,202,89.9773422395261,7864.40643270513,7509.32094594453,-141.855085071712,6578.19515140433,5.61054472977672,8.28029849637299,-175.723371365341,40,0,0,0,0.647713355334855,1.57395346539233,0,0,1,
103,204,89.6945152591635,7863.77179580166,7508.69328679365,-140.96515419651,6563.45825739263,5.61837271388005,8.3685555999641,-175.622599021709,40,0,0,0,0.65303197014281,1.64002884363117,0,0,1,
104,206,89.4135063746506,7863.09419918699,7508.02244925598,-140.036734701067,6548.72185307155,5.62625465384469,8.45677714272931,-175.521782686169,40,0,0,0,0.658360542106376,1.70806243645789,0,0,1,
105,208,89.1343939922107,7862.37232605604,7507.30711102424,-139.068384659311,6533.98644930953,5.63419525780608,8.54496532131988,-175.420920150546,40,0,0,0,0.66369925531429,1.77815239149724,0,0,1,
106,210,88.8572594688069,7861.60480798047,7506.54589798006,-138.05859763144,6519.2517324033,5.64219833836637,8.63311703756172,-175.320011772304,40,0,0,0,0.669050275640949,1.85036042880011,0,0,1,
107,212,88.5821872306084,7860.79023171974,7505.73739104058,-137.005811250714,6504.51796239242,5.65025528980675,8.72123348978302,-175.219056354244,40,0,0,0,0.674410381245246,1.92475495903091,0,0,1,
108,214,88.309264879466,7859.92714548968,7504.88013239835,-135.908414756886,6489.78498074246,5.65837086282745,8.80931096050129,-175.118057653881,40,0,0,0,0.679776953742005,2.00137753276308,0,0,1,
109,216,88.0385832728278,7859.01407246934,7503.97263906723,-134.764764977333,6475.05339044058,5.66654739495274,8.89735103618234,-175.017013435042,40,0,0,0,0.685143315484238,2.08026744391921,0,0,1,
110,218,87.7702365856059,7858.04951194923,7503.01340403874,-133.57318930052,6460.32291504648,5.67479406728181,8.9853526193545,-174.915923930934,40,0,0,0,0.690503680150469,2.16144498199004,0,0,1,
